17632, "KMYL HD My Lubbock TV  (17632)"
17636, "KTTZ HDTV PBS  (17636)"
17705, "KTVZ CW Plus  (17705)"
17739, "KQRE Telemundo 19  (17739)"
17780, "KTLO  (17780)"
17897, "KATU MeTV  (17897)"
17927, "KBIM HDTV CBS  (17927)"
17928, "Freeform HDTV (West) (17928)"
17935, "Disney Channel HDTV (West) (17935)"
18010, "KMYU MyTV (St George UT) (18010)"
18012, "Disney XD HDTV (West)  (18012)"
18072, "Woodland Park City  (18072)"
18084, "KMYU This TV  (18084)"
18110, "KSLDT2 (Cozi TV)  (18110)"
18132, "KPXC HDTV ION  (18132)"
18138, "Cartoon Network HDTV (West)  (18138)"
18143, "SyFy HDTV (West) (18143)"
18157, "KOAA News First Now (18157)"
18185, "KLCW CW Plus HDTV (18185)"
18194, "KMID HD ABC  (18194)"
18202, "KUPT Heroes and Icons  (18202)"
18212, "KJTVDT2 FOX 34 NewsNOW  (18212)"
18292, "msnbc HDTV  (18292)"
18322, "MC Love Songs  (18322)"
18324, "HLN HDTV  (18324)"
18333, "Turner Classic Movies HDTV (18333)"
18355, "KOBR HDTV NBC  (18355)"
18373, "KWWT CW Plus  (18373)"
18399, "BBC America HDTV (East)  (18399)"
18408, "Paramount Network HDTV (West)  (18408)"
18411, "truTV HDTV (East)  (18411)"
18416, "VH1 HDTV (West)  (18416)"
18417, "MTV HDTV (West)  (18417)"
18418, "CMT HDTV (West)  (18418)"
18419, "Comedy Central HDTV (West)  (18419)"
18420, "Nickelodeon HDTV (West)  (18420)"
18422, "World Fishing Network (US)  (18422)"
18489, "NFL RedZone  (18489)"
18503, "TBN (KPJR DT1)  (18503)"
18523, "NFL RedZone HDTV  (18523)"
18589, "KOAT Estrella  (18589)"
18592, "HSN HDTV  (18592)"
18605, "OPB Radio  (18605)"
18693, "Altitude Sports & Entertainment HDTV  (18693)"
18772, "Altitude Sports & Entertainment (Colorado) HDTV  (18772)"
18796, "KENW HDTV PBS  (18796)"
18823, "Event TV HD  (18823)"
18862, "Hallmark Channel HDTV (East)  (18862)"
18865, "KOCT  (18865)"
18904, "Hallmark Channel HDTV (West)  (18904)"
18922, "Hallmark Movies and Mysteries HDTV West  (18922)"
